Student ID,Signup Date,Year,Month,City,City Tier,Age Group,Gender,Course Name,Subject Category,Grade Level,Plan Type,Mode of Learning,Enrollment Status,Completion %,Revenue (INR),Course Rating
STU10499,2021-01-15,2021,Jan,Bengaluru,Tier 1,15-17,Male,Class 8 Maths & Science,School Curriculum,8,Monthly,Offline,Completed,100.0,948.9,3.7
STU10385,2021-01-15,2021,Jan,Nagpur,Tier 2,6-10,Male,Class 6 Foundation,School Curriculum,6,Monthly,Online,Completed,100.0,868.12,4.2
STU14694,2021-01-15,2021,Jan,Ahmedabad,Tier 1,6-10,Male,Python for Beginners,Coding,6-8,Monthly,Online,Trial - Not Converted,1.5,0.0,
STU13639,2021-01-15,2021,Jan,Jodhpur,Tier 3,6-10,Male,Spoken English Mastery,Skill Development,All,Annual,Offline,Active,51.0,5127.37,4.3
STU13777,2021-01-15,2021,Jan,Mumbai,Tier 1,18+,Female,Robotics & AI Basics,Coding,6-8,Annual,Online,Active,88.8,11428.19,4.1
STU14853,2021-01-15,2021,Jan,Kolkata,Tier 1,6-10,Female,Class 10 CBSE Complete,School Curriculum,10,Quarterly,Offline,Active,79.1,4084.43,4.0
STU12117,2021-01-15,2021,Jan,Varanasi,Tier 3,11-14,Female,Robotics & AI Basics,Coding,6-8,Quarterly,Online,Active,85.9,3429.3,5.0
STU12348,2021-01-15,2021,Jan,Hyderabad,Tier 1,15-17,Male,Class 8 Maths & Science,School Curriculum,8,Annual,Offline,Active,87.7,10161.9,3.6
STU15998,2021-01-16,2021,Jan,Lucknow,Tier 2,11-14,Female,Robotics & AI Basics,Coding,6-8,Annual,Offline,Trial - Not Converted,23.2,0.0,
STU15410,2021-01-16,2021,Jan,Mumbai,Tier 1,6-10,Female,Spoken English Mastery,Skill Development,All,Quarterly,Online,Completed,100.0,1411.5,4.9
STU11421,2021-01-16,2021,Jan,Pune,Tier 1,11-14,Male,Python for Beginners,Coding,6-8,Quarterly,Online,Trial - Not Converted,0.4,0.0,
STU13978,2021-01-16,2021,Jan,Mumbai,Tier 1,18+,Female,Class 10 CBSE Complete,School Curriculum,10,Monthly,Online,Active,31.9,1519.34,3.7
STU13699,2021-01-16,2021,Jan,Indore,Tier 2,11-14,Female,Class 6 Foundation,School Curriculum,6,Monthly,Online,Active,75.7,833.59,4.5
STU11083,2021-01-17,2021,Jan,Lucknow,Tier 2,18+,Female,Class 6 Foundation,School Curriculum,6,Monthly,Online,Completed,100.0,869.93,3.5
STU14940,2021-01-17,2021,Jan,Jodhpur,Tier 3,15-17,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Online,Churned,37.3,48118.69,3.7
STU15400,2021-01-17,2021,Jan,Jaipur,Tier 2,15-17,Male,Spoken English Mastery,Skill Development,All,Quarterly,Online,Completed,100.0,1355.17,3.6
STU15983,2021-01-17,2021,Jan,Varanasi,Tier 3,11-14,Male,Robotics & AI Basics,Coding,6-8,Monthly,Online,Active,80.0,1126.57,3.7
STU10866,2021-01-17,2021,Jan,Pune,Tier 1,15-17,Female,Class 6 Foundation,School Curriculum,6,Quarterly,Offline,Completed,100.0,2330.91,4.2
STU14032,2021-01-17,2021,Jan,Kolkata,Tier 1,6-10,Female,JEE Main Foundation,Competitive Exam,11-12,Monthly,Offline,Completed,100.0,3744.32,3.4
STU13030,2021-01-18,2021,Jan,Ahmedabad,Tier 1,18+,Female,Class 10 CBSE Complete,School Curriculum,10,Quarterly,Offline,Active,63.7,4226.64,4.4
STU13280,2021-01-18,2021,Jan,Chennai,Tier 1,11-14,Male,Python for Beginners,Coding,6-8,Quarterly,Online,Trial - Not Converted,5.8,0.0,
STU14704,2021-01-18,2021,Jan,Surat,Tier 2,6-10,Female,Class 10 CBSE Complete,School Curriculum,10,Annual,Offline,Active,40.8,14608.71,4.8
STU12457,2021-01-18,2021,Jan,Meerut,Tier 3,11-14,Female,JEE Main Foundation,Competitive Exam,11-12,Quarterly,Online,Active,35.6,10201.2,3.6
STU15391,2021-01-18,2021,Jan,Ahmedabad,Tier 1,15-17,Male,Class 6 Foundation,School Curriculum,6,Quarterly,Offline,Active,52.5,2533.49,4.2
STU12739,2021-01-19,2021,Jan,Kanpur,Tier 2,11-14,Male,Python for Beginners,Coding,6-8,Quarterly,Online,Active,40.1,2182.82,5.0
STU10269,2021-01-19,2021,Jan,Lucknow,Tier 2,6-10,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Monthly,Offline,Completed,100.0,4974.17,4.1
STU12969,2021-01-20,2021,Jan,Kanpur,Tier 2,6-10,Female,Coding for Kids - Scratch,Coding,3-5,Quarterly,Online,Trial - Not Converted,3.5,0.0,
STU11685,2021-01-20,2021,Jan,Indore,Tier 2,6-10,Male,Robotics & AI Basics,Coding,6-8,Quarterly,Online,Active,56.2,3598.13,4.4
STU12240,2021-01-20,2021,Jan,Surat,Tier 2,15-17,Female,Class 10 CBSE Complete,School Curriculum,10,Annual,Offline,Active,45.8,13728.5,4.4
STU14051,2021-01-20,2021,Jan,Hyderabad,Tier 1,11-14,Male,Class 6 Foundation,School Curriculum,6,Annual,Online,Active,82.9,7955.57,4.9
STU12691,2021-01-20,2021,Jan,Patna,Tier 2,15-17,Female,NEET Crash Course,Competitive Exam,11-12,Annual,Online,Active,40.1,41171.88,4.0
STU15873,2021-01-20,2021,Jan,Bengaluru,Tier 1,6-10,Female,Robotics & AI Basics,Coding,6-8,Quarterly,Online,Trial - Not Converted,13.0,0.0,
STU15403,2021-01-21,2021,Jan,Jodhpur,Tier 3,15-17,Female,Robotics & AI Basics,Coding,6-8,Annual,Online,Trial - Not Converted,24.3,0.0,
STU14211,2021-01-21,2021,Jan,Nagpur,Tier 2,18+,Male,NEET Crash Course,Competitive Exam,11-12,Quarterly,Offline,Completed,100.0,12079.65,4.1
STU13966,2021-01-21,2021,Jan,Ahmedabad,Tier 1,15-17,Female,Robotics & AI Basics,Coding,6-8,Monthly,Online,Active,27.6,1163.58,3.8
STU12572,2021-01-21,2021,Jan,Bhopal,Tier 2,6-10,Female,NEET Crash Course,Competitive Exam,11-12,Annual,Offline,Active,25.2,41684.22,3.3
STU11978,2021-01-22,2021,Jan,Kota,Tier 3,6-10,Male,Python for Beginners,Coding,6-8,Annual,Online,Active,21.1,7425.54,3.7
STU13239,2021-01-22,2021,Jan,Delhi,Tier 1,15-17,Male,Robotics & AI Basics,Coding,6-8,Quarterly,Online,Churned,54.8,3654.58,3.9
STU10077,2021-01-22,2021,Jan,Surat,Tier 2,18+,Female,Class 8 Maths & Science,School Curriculum,8,Quarterly,Online,Churned,25.6,2890.71,3.5
STU13037,2021-01-22,2021,Jan,Mumbai,Tier 1,6-10,Female,Spoken English Mastery,Skill Development,All,Annual,Online,Active,94.7,4993.49,4.8
STU11266,2021-01-23,2021,Jan,Mumbai,Tier 1,15-17,Male,Coding for Kids - Scratch,Coding,3-5,Monthly,Online,Churned,33.8,613.48,5.0
STU12290,2021-01-23,2021,Jan,Kanpur,Tier 2,15-17,Male,Coding for Kids - Scratch,Coding,3-5,Annual,Offline,Active,81.4,6967.63,4.0
STU11362,2021-01-23,2021,Jan,Jaipur,Tier 2,6-10,Male,Coding for Kids - Scratch,Coding,3-5,Quarterly,Offline,Active,39.7,1867.08,4.5
STU14195,2021-01-23,2021,Jan,Bhopal,Tier 2,15-17,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Offline,Trial - Not Converted,19.4,0.0,
STU10729,2021-01-23,2021,Jan,Kolkata,Tier 1,6-10,Female,JEE Main Foundation,Competitive Exam,11-12,Quarterly,Online,Active,20.5,11351.8,4.0
STU14763,2021-01-23,2021,Jan,Meerut,Tier 3,18+,Male,NEET Crash Course,Competitive Exam,11-12,Annual,Online,Active,53.4,40976.05,3.8
STU11645,2021-01-23,2021,Jan,Jaipur,Tier 2,11-14,Female,Class 6 Foundation,School Curriculum,6,Monthly,Online,Active,94.8,752.97,4.7
STU14178,2021-01-24,2021,Jan,Pune,Tier 1,18+,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Quarterly,Online,Active,82.6,14996.08,3.4
STU12422,2021-01-24,2021,Jan,Kolkata,Tier 1,11-14,Female,NEET Crash Course,Competitive Exam,11-12,Quarterly,Online,Active,53.6,12224.85,3.6
STU11763,2021-01-24,2021,Jan,Delhi,Tier 1,6-10,Female,Spoken English Mastery,Skill Development,All,Annual,Online,Active,99.9,5109.76,4.0
STU11438,2021-01-24,2021,Jan,Jaipur,Tier 2,18+,Female,Class 10 CBSE Complete,School Curriculum,10,Annual,Offline,Active,70.5,15698.51,5.0
STU12400,2021-01-24,2021,Jan,Pune,Tier 1,15-17,Male,Coding for Kids - Scratch,Coding,3-5,Annual,Online,Trial - Not Converted,6.3,0.0,
STU13626,2021-01-24,2021,Jan,Delhi,Tier 1,15-17,Female,NEET Crash Course,Competitive Exam,11-12,Monthly,Online,Active,95.1,4526.53,4.6
STU14745,2021-01-25,2021,Jan,Ahmedabad,Tier 1,15-17,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Online,Churned,51.0,51627.52,5.0
STU13633,2021-01-25,2021,Jan,Kolkata,Tier 1,11-14,Male,JEE Main Foundation,Competitive Exam,11-12,Monthly,Offline,Active,26.2,3421.4,4.7
STU12966,2021-01-25,2021,Jan,Chennai,Tier 1,15-17,Female,Class 8 Maths & Science,School Curriculum,8,Quarterly,Offline,Completed,100.0,2913.91,4.0
STU13749,2021-01-26,2021,Jan,Surat,Tier 2,6-10,Male,Python for Beginners,Coding,6-8,Annual,Online,Trial - Not Converted,8.4,0.0,
STU15713,2021-01-26,2021,Jan,Chennai,Tier 1,18+,Female,JEE Main Foundation,Competitive Exam,11-12,Monthly,Online,Trial - Not Converted,17.8,0.0,
STU11542,2021-01-26,2021,Jan,Surat,Tier 2,6-10,Male,Python for Beginners,Coding,6-8,Quarterly,Online,Active,76.9,2237.09,4.7
STU12851,2021-01-26,2021,Jan,Mumbai,Tier 1,15-17,Female,Class 10 CBSE Complete,School Curriculum,10,Quarterly,Online,Active,21.1,4195.92,4.6
STU15665,2021-01-26,2021,Jan,Kolkata,Tier 1,15-17,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Quarterly,Offline,Active,73.9,15444.39,4.4
STU15055,2021-01-27,2021,Jan,Ahmedabad,Tier 1,15-17,Male,Python for Beginners,Coding,6-8,Quarterly,Online,Active,96.8,2445.83,4.3
STU13990,2021-01-27,2021,Jan,Indore,Tier 2,18+,Male,Class 10 CBSE Complete,School Curriculum,10,Annual,Offline,Trial - Not Converted,23.5,0.0,
STU12733,2021-01-27,2021,Jan,Delhi,Tier 1,18+,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Quarterly,Online,Active,68.3,15354.66,3.7
STU13220,2021-01-27,2021,Jan,Lucknow,Tier 2,15-17,Male,Class 10 CBSE Complete,School Curriculum,10,Monthly,Online,Trial - Not Converted,17.6,0.0,
STU15041,2021-01-28,2021,Jan,Indore,Tier 2,6-10,Male,Spoken English Mastery,Skill Development,All,Monthly,Online,Completed,100.0,497.28,3.6
STU13217,2021-01-28,2021,Jan,Guwahati,Tier 3,11-14,Male,Class 6 Foundation,School Curriculum,6,Annual,Online,Trial - Not Converted,21.6,0.0,
STU12981,2021-01-28,2021,Jan,Nagpur,Tier 2,6-10,Male,Coding for Kids - Scratch,Coding,3-5,Monthly,Online,Churned,46.8,650.05,4.3
STU14960,2021-01-28,2021,Jan,Bhopal,Tier 2,6-10,Female,NEET Crash Course,Competitive Exam,11-12,Quarterly,Online,Active,64.0,11815.41,4.2
STU14630,2021-01-28,2021,Jan,Mumbai,Tier 1,15-17,Female,Class 8 Maths & Science,School Curriculum,8,Monthly,Online,Trial - Not Converted,18.2,0.0,
STU12361,2021-01-28,2021,Jan,Pune,Tier 1,18+,Male,Robotics & AI Basics,Coding,6-8,Quarterly,Online,Active,25.2,3384.47,4.3
STU11486,2021-01-28,2021,Jan,Hyderabad,Tier 1,6-10,Female,Class 8 Maths & Science,School Curriculum,8,Quarterly,Offline,Active,37.0,2873.13,5.0
STU15897,2021-01-29,2021,Jan,Hyderabad,Tier 1,11-14,Female,Class 6 Foundation,School Curriculum,6,Annual,Online,Active,85.7,7925.63,3.9
STU12122,2021-01-29,2021,Jan,Lucknow,Tier 2,6-10,Female,Coding for Kids - Scratch,Coding,3-5,Monthly,Online,Completed,100.0,652.86,3.6
STU14781,2021-01-30,2021,Jan,Jaipur,Tier 2,6-10,Female,Class 6 Foundation,School Curriculum,6,Quarterly,Offline,Active,60.7,2458.39,3.8
STU10117,2021-01-30,2021,Jan,Kolkata,Tier 1,11-14,Male,NEET Crash Course,Competitive Exam,11-12,Monthly,Offline,Completed,100.0,4194.92,5.0
STU15538,2021-01-30,2021,Jan,Hyderabad,Tier 1,18+,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Quarterly,Online,Active,91.5,15609.9,3.7
STU12157,2021-01-30,2021,Jan,Lucknow,Tier 2,15-17,Female,Robotics & AI Basics,Coding,6-8,Annual,Online,Churned,58.3,12875.08,4.2
STU14252,2021-01-31,2021,Jan,Mumbai,Tier 1,15-17,Female,NEET Crash Course,Competitive Exam,11-12,Annual,Offline,Churned,59.8,44855.01,4.3
STU11148,2021-01-31,2021,Jan,Bengaluru,Tier 1,11-14,Male,NEET Crash Course,Competitive Exam,11-12,Quarterly,Online,Completed,100.0,11709.55,3.1
STU13812,2021-01-31,2021,Jan,Bengaluru,Tier 1,11-14,Male,Spoken English Mastery,Skill Development,All,Annual,Online,Trial - Not Converted,4.0,0.0,
STU15067,2021-02-01,2021,Feb,Jaipur,Tier 2,18+,Male,Python for Beginners,Coding,6-8,Monthly,Online,Churned,20.5,730.91,4.5
STU13035,2021-02-01,2021,Feb,Pune,Tier 1,11-14,Male,Class 6 Foundation,School Curriculum,6,Annual,Offline,Active,87.2,8424.31,5.0
STU12945,2021-02-01,2021,Feb,Ahmedabad,Tier 1,11-14,Male,JEE Main Foundation,Competitive Exam,11-12,Quarterly,Online,Active,21.4,11055.46,4.5
STU12053,2021-02-01,2021,Feb,Surat,Tier 2,18+,Male,JEE Main Foundation,Competitive Exam,11-12,Annual,Offline,Trial - Not Converted,18.3,0.0,
STU10702,2021-02-01,2021,Feb,Meerut,Tier 3,11-14,Female,JEE Main Foundation,Competitive Exam,11-12,Annual,Offline,Active,90.3,38531.99,4.3
STU14889,2021-02-01,2021,Feb,Kolkata,Tier 1,15-17,Female,Python for Beginners,Coding,6-8,Quarterly,Online,Active,32.7,2154.82,4.7
STU15171,2021-02-01,2021,Feb,Bhopal,Tier 2,18+,Male,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Offline,Completed,100.0,49525.41,4.1
STU15370,2021-02-01,2021,Feb,Bhopal,Tier 2,11-14,Female,Robotics & AI Basics,Coding,6-8,Monthly,Online,Trial - Not Converted,19.8,0.0,
STU14628,2021-02-02,2021,Feb,Chennai,Tier 1,18+,Female,Class 6 Foundation,School Curriculum,6,Quarterly,Offline,Completed,100.0,2464.43,4.7
STU13152,2021-02-02,2021,Feb,Delhi,Tier 1,15-17,Male,JEE Main Foundation,Competitive Exam,11-12,Quarterly,Online,Active,87.3,11394.22,4.8
STU10488,2021-02-02,2021,Feb,Pune,Tier 1,11-14,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Monthly,Online,Completed,100.0,4973.09,3.6
STU14392,2021-02-02,2021,Feb,Ahmedabad,Tier 1,6-10,Female,Coding for Kids - Scratch,Coding,3-5,Annual,Online,Active,75.1,6586.92,5.0
STU10605,2021-02-02,2021,Feb,Delhi,Tier 1,11-14,Female,Robotics & AI Basics,Coding,6-8,Annual,Online,Completed,100.0,12230.19,5.0
STU14855,2021-02-02,2021,Feb,Hyderabad,Tier 1,15-17,Female,Class 6 Foundation,School Curriculum,6,Annual,Online,Active,66.7,8481.8,2.6
STU15345,2021-02-03,2021,Feb,Ranchi,Tier 3,18+,Female,Spoken English Mastery,Skill Development,All,Monthly,Online,Trial - Not Converted,11.4,0.0,
STU13704,2021-02-03,2021,Feb,Jaipur,Tier 2,6-10,Female,Coding for Kids - Scratch,Coding,3-5,Annual,Online,Completed,100.0,6758.92,3.3
STU14420,2021-02-03,2021,Feb,Mumbai,Tier 1,11-14,Male,Coding for Kids - Scratch,Coding,3-5,Annual,Online,Churned,42.8,6294.86,4.5
STU10068,2021-02-03,2021,Feb,Jaipur,Tier 2,15-17,Male,Class 10 CBSE Complete,School Curriculum,10,Annual,Online,Churned,12.3,13980.41,4.6
STU11952,2021-02-03,2021,Feb,Jodhpur,Tier 3,6-10,Male,Python for Beginners,Coding,6-8,Monthly,Online,Active,90.6,818.58,3.9
STU14995,2021-02-04,2021,Feb,Lucknow,Tier 2,6-10,Male,Class 10 CBSE Complete,School Curriculum,10,Annual,Online,Active,83.1,15075.75,4.3
STU13935,2021-02-04,2021,Feb,Kolkata,Tier 1,15-17,Male,Coding for Kids - Scratch,Coding,3-5,Quarterly,Online,Trial - Not Converted,20.3,0.0,
STU13745,2021-02-04,2021,Feb,Kanpur,Tier 2,11-14,Male,JEE Main Foundation,Competitive Exam,11-12,Monthly,Offline,Trial - Not Converted,17.7,0.0,
STU14302,2021-02-04,2021,Feb,Ahmedabad,Tier 1,11-14,Female,Class 6 Foundation,School Curriculum,6,Quarterly,Online,Completed,100.0,2311.67,4.5
STU15141,2021-02-04,2021,Feb,Chennai,Tier 1,11-14,Female,Python for Beginners,Coding,6-8,Quarterly,Online,Completed,100.0,2178.49,4.7
STU10855,2021-02-05,2021,Feb,Indore,Tier 2,6-10,Male,Class 10 CBSE Complete,School Curriculum,10,Quarterly,Online,Completed,100.0,4569.79,5.0
STU10092,2021-02-05,2021,Feb,Mumbai,Tier 1,11-14,Female,UPSC Prelims Foundation,Competitive Exam,Graduate,Annual,Online,Trial - Not Converted,9.7,0.0,
